,age,sex,answer
2438,45 - 59,Female,Yes
2439,60,Male,No
2440,18 - 29,Female,No
2441,30 - 44,Female,Yes
2442,60,Male,Yes
2443,18 - 29,Female,Yes
2444,30 - 44,Male,Yes
2445,45 - 59,Male,No
2446,45 - 59,Female,Yes
2447,30 - 44,Male,Yes
2448,30 - 44,Female,No
2449,18 - 29,Female,No
2450,30 - 44,Female,No
2451,60,Male,No
2452,18 - 29,Male,Yes
2453,30 - 44,Male,No
2454,60,Female,No
2455,45 - 59,Female,Yes
2456,30 - 44,Male,Yes
2457,45 - 59,Female,Yes
2458,30 - 44,Male,No
2459,30 - 44,Female,No
2460,60,Female,Yes
2461,45 - 59,Female,Yes
2462,60,Male,No
2463,18 - 29,Male,No
2464,60,Female,No
2465,60,Female,Yes
2466,30 - 44,Female,Yes
2467,45 - 59,Female,Yes
2468,30 - 44,Male,No
2469,60,Female,Yes
2470,45 - 59,Male,No
2471,30 - 44,Female,No
2472,60,Female,No
2473,45 - 59,Female,No
2474,45 - 59,Male,No
2475,30 - 44,Female,No
2476,30 - 44,Female,No
2477,45 - 59,Female,Yes
2478,30 - 44,Female,No
2479,18 - 29,Female,No
2480,30 - 44,Female,No
2481,30 - 44,Male,No
2482,60,Male,No
2483,45 - 59,Female,Yes
2484,45 - 59,Female,No
2485,45 - 59,Male,No
2486,60,Female,No
2487,30 - 44,Female,No
2488,60,Female,No
2489,45 - 59,Female,Yes
2490,45 - 59,Female,No
2491,18 - 29,Female,Yes
2492,60,Male,Yes
2493,60,Female,No
2494,18 - 29,Female,No
2495,45 - 59,Female,No
2496,60,Female,No
2497,60,Female,No
2498,45 - 59,Female,No
2499,45 - 59,Male,Yes
2500,60,Female,No
2501,30 - 44,Female,No
2502,30 - 44,Female,No
2503,60,Male,No
2504,30 - 44,Male,Yes
2505,30 - 44,Female,Yes
2506,18 - 29,Female,Yes
2507,45 - 59,Male,Yes
2508,45 - 59,Female,No
2509,30 - 44,Female,Yes
2510,45 - 59,Male,Yes
2511,18 - 29,Female,No
2512,60,Female,No
2513,30 - 44,Female,Yes
2514,45 - 59,Female,No
2515,18 - 29,Female,No
2516,60,Male,No
2517,45 - 59,Female,No
2518,30 - 44,Female,No
2519,60,Female,Yes
2520,30 - 44,Female,No
2521,60,Male,No
2522,45 - 59,Male,No
2523,45 - 59,Female,Yes
2524,45 - 59,Female,Yes
2525,45 - 59,Male,No
2526,60,Female,No
2527,60,Female,No
2528,45 - 59,Male,No
2529,60,Female,Yes
2530,30 - 44,Male,Yes
2531,45 - 59,Male,Yes
2532,18 - 29,Female,Yes
2533,60,Male,No
2534,45 - 59,Male,No
2535,60,Female,Yes
2536,45 - 59,Male,Yes
2537,45 - 59,Male,No
2538,30 - 44,Male,No
2539,30 - 44,Male,Yes
2540,18 - 29,Female,No
2541,18 - 29,Female,No
2542,18 - 29,Male,Yes
2543,45 - 59,Female,No
2544,45 - 59,Female,Yes
2545,60,Female,No
2546,18 - 29,Female,No
2547,30 - 44,Female,Yes
2548,45 - 59,Female,Yes
2549,45 - 59,Male,Yes
2550,60,Female,Yes
2551,30 - 44,Female,Yes
2552,45 - 59,Female,Yes
2553,60,Female,No
2554,60,Female,No
2555,30 - 44,Male,No
2556,45 - 59,Female,No
2557,45 - 59,Male,No
2558,30 - 44,Female,No
2559,30 - 44,Female,No
2560,60,Female,No
2561,60,Female,Yes
2562,45 - 59,Male,No
2563,30 - 44,Female,No
2564,45 - 59,Male,No
2565,45 - 59,Female,Yes
2566,45 - 59,Female,No
2567,60,Female,No
2568,18 - 29,Male,No
2569,18 - 29,Female,No
2570,30 - 44,Female,No
2571,45 - 59,Female,No
2572,60,Male,Yes
2573,30 - 44,Male,Yes
2574,30 - 44,Female,No
2575,18 - 29,Male,No
2576,60,Female,Yes
2577,30 - 44,Male,Yes
2578,18 - 29,Female,No
2579,60,Female,No
2580,18 - 29,Female,No
2581,30 - 44,Male,No
2582,60,Female,No
2583,45 - 59,Female,No
2584,30 - 44,Male,No
2585,60,Female,No
2586,45 - 59,Male,No
2587,45 - 59,Male,No
2588,60,Female,Yes
2589,30 - 44,Female,Yes
2590,45 - 59,Female,Yes
2591,45 - 59,Female,Yes
2592,60,Male,No
2593,45 - 59,Female,Yes
2594,18 - 29,Male,No
2595,45 - 59,Male,No
2596,18 - 29,Male,No
2597,18 - 29,Female,Yes
2598,30 - 44,Male,No
2599,45 - 59,Female,Yes
2600,18 - 29,Male,No
2601,60,Male,No
2602,60,Female,No
2603,45 - 59,Female,Yes
2604,18 - 29,Female,No
2605,45 - 59,Female,No
2606,45 - 59,Female,No
2607,18 - 29,Male,Yes
2608,30 - 44,Male,Yes
2609,60,Female,No
2610,45 - 59,Female,No
2611,45 - 59,Female,No
2612,60,Female,No
2613,45 - 59,Female,No
2614,60,Male,Yes
2615,60,Female,Yes
2616,18 - 29,Female,Yes
2617,30 - 44,Male,No
2618,45 - 59,Female,No
2619,18 - 29,Female,No
2620,60,Male,Yes
2621,18 - 29,Female,No
2622,18 - 29,Male,No
2623,45 - 59,Female,No
2624,30 - 44,Male,No
2625,30 - 44,Female,No
2626,30 - 44,Female,No
2627,18 - 29,Male,No
2628,18 - 29,Female,Yes
2629,60,Male,No
2630,60,Female,Yes
2631,30 - 44,Female,Yes
2632,,,No
2633,60,Female,No
2634,30 - 44,Female,No
2635,45 - 59,Female,No
2636,30 - 44,Female,No
2637,45 - 59,Female,Yes
2638,45 - 59,Male,Yes
2639,30 - 44,Female,No
2640,45 - 59,Female,No
2641,60,Female,No
2642,45 - 59,Female,Yes
2643,60,Female,Yes
2644,30 - 44,Female,No
2645,60,Male,No
2646,60,Male,No
2647,18 - 29,Female,Yes
2648,45 - 59,Male,No
2649,30 - 44,Male,Yes
2650,60,Male,No
2651,60,Female,No
2652,18 - 29,Female,No
2653,18 - 29,Male,Yes
2654,45 - 59,Female,No
2655,18 - 29,Female,No
2656,30 - 44,Female,Yes
2657,30 - 44,Female,Yes
2658,45 - 59,Female,Yes
2659,60,Female,Yes
2660,30 - 44,Male,Yes
2661,18 - 29,Female,Yes
2662,18 - 29,Female,Yes
2663,18 - 29,Female,No
2664,60,Female,No
2665,18 - 29,Male,No
2666,18 - 29,Female,Yes
2667,30 - 44,Female,No
2668,18 - 29,Female,No
2669,18 - 29,Male,No
2670,18 - 29,Female,Yes
2671,45 - 59,Female,No
2672,18 - 29,Female,Yes
2673,45 - 59,Female,Yes
2674,18 - 29,Male,No
2675,30 - 44,Female,No
2676,45 - 59,Male,Yes
2677,60,Female,Yes
2678,60,Male,Yes
2679,60,Male,Yes
2680,18 - 29,Female,Yes
2681,60,Female,No
2682,45 - 59,Female,No
2683,45 - 59,Male,Yes
2684,45 - 59,Female,Yes
2685,,,No
2686,60,Male,Yes
2687,30 - 44,Male,No
2688,45 - 59,Male,Yes
2689,45 - 59,Male,Yes
2690,30 - 44,Female,Yes
2691,60,Female,No
2692,45 - 59,Female,No
2693,60,Male,No
2694,60,Male,No
2695,60,Male,Yes
2696,30 - 44,Female,No
2697,45 - 59,Female,No
2698,45 - 59,Female,No
2699,30 - 44,Female,No
2700,60,Male,Yes
2701,45 - 59,Male,Yes
2702,60,Female,Yes
2703,18 - 29,Male,No
2704,18 - 29,Female,Yes
2705,60,Male,No
2706,30 - 44,Female,Yes
2707,18 - 29,Female,Yes
2708,18 - 29,Male,Yes
2709,18 - 29,Female,No
2710,45 - 59,Female,No
2711,60,Male,No
2712,45 - 59,Female,Yes
2713,60,Female,No
2714,30 - 44,Male,No
2715,30 - 44,Male,No
2716,30 - 44,Female,No
2717,18 - 29,Female,Yes
2718,45 - 59,Female,No
2719,18 - 29,Female,Yes
2720,18 - 29,Female,No
2721,45 - 59,Female,No
2722,45 - 59,Female,No
2723,60,Male,No
2724,30 - 44,Male,No
2725,60,Female,No
2726,18 - 29,Female,Yes
2727,45 - 59,Female,No
2728,30 - 44,Male,Yes
2729,18 - 29,Male,No
2730,45 - 59,Female,No
2731,30 - 44,Male,No
2732,60,Female,No
2733,60,Female,No
2734,30 - 44,Female,Yes
2735,18 - 29,Male,Yes
2736,30 - 44,Female,No
2737,60,Female,Yes
2738,30 - 44,Female,Yes
2739,60,Female,No
2740,60,Female,Yes
2741,45 - 59,Male,No
2742,45 - 59,Female,Yes
2743,30 - 44,Male,No
2744,18 - 29,Female,No
2745,30 - 44,Male,No
2746,30 - 44,Male,No
2747,45 - 59,Female,Yes
2748,45 - 59,Male,Yes
2749,18 - 29,Female,No
2750,45 - 59,Female,Yes
2751,18 - 29,Male,No
2752,45 - 59,Female,No
2753,60,Female,Yes
2754,30 - 44,Female,Yes
2755,30 - 44,Female,Yes
2756,45 - 59,Female,No
2757,18 - 29,Male,No
2758,60,Female,Yes
2759,30 - 44,Female,No
2760,60,Female,Yes
2761,60,Female,Yes
2762,60,Male,No
2763,,,Yes
2764,30 - 44,Male,No
2765,30 - 44,Female,No
2766,45 - 59,Female,No
2767,60,Female,Yes
2768,18 - 29,Female,No
2769,18 - 29,Female,Yes
2770,30 - 44,Female,No
2771,45 - 59,Female,No
2772,60,Female,Yes
2773,60,Male,Yes
2774,60,Female,No
2775,60,Male,No
2776,30 - 44,Female,No
2777,60,Female,Yes
2778,60,Male,No
2779,30 - 44,Female,Yes
2780,45 - 59,Female,Yes
2781,30 - 44,Male,No
2782,45 - 59,Female,Yes
2783,30 - 44,Female,No
2784,60,Male,No
2785,45 - 59,Male,No
2786,45 - 59,Female,No
2787,60,Female,No
2788,45 - 59,Male,Yes
2789,60,Female,Yes
2790,45 - 59,Female,No
2791,30 - 44,Female,No
2792,18 - 29,Female,No
2793,18 - 29,Male,No
2794,30 - 44,Female,No
2795,45 - 59,Female,No
2796,60,Female,No
2797,60,Female,Yes
2798,45 - 59,Male,No
2799,45 - 59,Male,No
2800,30 - 44,Female,No
2801,60,Female,No
2802,18 - 29,Male,No
2803,18 - 29,Female,No
2804,30 - 44,Female,No
2805,30 - 44,Male,No
2806,18 - 29,Female,Yes
2807,45 - 59,Male,Yes
2808,30 - 44,Male,Yes
2809,30 - 44,Female,Yes
2810,30 - 44,Female,No
2811,60,Female,Yes
2812,30 - 44,Female,Yes
2813,30 - 44,Male,Yes
2814,18 - 29,Male,No
2815,18 - 29,Male,Yes
2816,45 - 59,Female,No
2817,45 - 59,Female,No
2818,45 - 59,Male,No
2819,45 - 59,Male,Yes
2820,60,Female,No
2821,60,Female,Yes
2822,60,Male,No
2823,18 - 29,Female,No
2824,60,Male,No
2825,45 - 59,Female,No
2826,45 - 59,Female,No
2827,18 - 29,Female,No
2828,60,Male,Yes
2829,60,Female,No
2830,30 - 44,Female,Yes
2831,60,Female,No
2832,18 - 29,Female,No
2833,45 - 59,Male,No
2834,30 - 44,Female,Yes
2835,60,Male,Yes
2836,30 - 44,Female,No
2837,45 - 59,Female,Yes
2838,18 - 29,Female,No
2839,45 - 59,Male,Yes
2840,60,Male,Yes
2841,60,Female,Yes
2842,18 - 29,Female,Yes
2843,60,Male,Yes
2844,45 - 59,Female,No
2845,30 - 44,Female,Yes
2846,60,Female,No
2847,60,Male,Yes
2848,30 - 44,Female,No
2849,45 - 59,Female,No
2850,60,Male,No
2851,18 - 29,Female,No
2852,30 - 44,Female,Yes
2853,60,Female,Yes
2854,60,Female,Yes
2855,18 - 29,Male,Yes
2856,60,Female,No
2857,45 - 59,Female,Yes
2858,45 - 59,Female,Yes
2859,30 - 44,Male,Yes
2860,18 - 29,Female,No
2861,30 - 44,Female,Yes
2862,45 - 59,Female,No
2863,60,Female,No
2864,45 - 59,Male,No
2865,30 - 44,Female,Yes
2866,30 - 44,Female,Yes
2867,45 - 59,Male,Yes
2868,45 - 59,Female,No
2869,60,Female,Yes
2870,30 - 44,Female,No
2871,60,Female,No
2872,18 - 29,Male,No
2873,45 - 59,Female,Yes
2874,18 - 29,Female,No
2875,30 - 44,Female,Yes
2876,60,Male,No
2877,30 - 44,Male,Yes
2878,45 - 59,Female,Yes
2879,45 - 59,Female,No
2880,30 - 44,Female,Yes
2881,60,Male,No
2882,18 - 29,Female,Yes
2883,18 - 29,Female,No
2884,60,Female,No
2885,45 - 59,Male,No
2886,18 - 29,Female,No
2887,60,Female,No
2888,30 - 44,Female,Yes
2889,18 - 29,Female,No
2890,45 - 59,Male,Yes
2891,18 - 29,Female,Yes
2892,45 - 59,Male,Yes
2893,30 - 44,Female,Yes
2894,60,Female,No
2895,18 - 29,Female,No
2896,60,Female,No
2897,60,Male,No
2898,,,Yes
2899,60,Male,Yes
2900,45 - 59,Female,No
2901,18 - 29,Female,No
2902,60,Female,Yes
2903,60,Female,No
2904,30 - 44,Female,Yes
2905,18 - 29,Female,No
2906,30 - 44,Female,No
2907,45 - 59,Female,No
2908,18 - 29,Male,Yes
2909,60,Male,No
2910,45 - 59,Female,No
2911,18 - 29,Female,No
2912,30 - 44,Female,Yes
2913,45 - 59,Female,Yes
2914,60,Male,Yes
2915,18 - 29,Female,Yes
2916,60,Male,No
2917,45 - 59,Female,Yes
2918,60,Male,No
2919,60,Female,Yes
2920,60,Female,No
2921,30 - 44,Female,No
2922,30 - 44,Female,Yes
2923,60,Female,Yes
2924,60,Female,Yes
2925,30 - 44,Female,Yes
2926,45 - 59,Male,Yes
2927,45 - 59,Female,No
2928,45 - 59,Male,No
2929,45 - 59,Male,Yes
2930,45 - 59,Female,No
2931,45 - 59,Female,Yes
2932,45 - 59,Female,Yes
2933,30 - 44,Male,No
2934,60,Female,Yes
2935,18 - 29,Male,No
2936,45 - 59,Male,No
2937,30 - 44,Female,No
2938,45 - 59,Male,No
2939,60,Female,Yes
2940,60,Male,Yes
2941,45 - 59,Male,No
2942,45 - 59,Male,No
2943,60,Female,Yes
2944,60,Male,No
2945,30 - 44,Female,Yes
2946,30 - 44,Female,Yes
2947,45 - 59,Male,No
2948,30 - 44,Female,Yes
2949,30 - 44,Male,No
2950,18 - 29,Female,Yes
2951,45 - 59,Female,Yes
2952,45 - 59,Female,No
2953,45 - 59,Male,No
2954,60,Female,No
2955,45 - 59,Female,No
2956,30 - 44,Female,No
2957,30 - 44,Male,No
2958,60,Male,Yes
2959,45 - 59,Female,Yes
2960,30 - 44,Male,Yes
2961,45 - 59,Male,No
2962,60,Female,No
2963,30 - 44,Female,Yes
2964,60,Female,No
2965,18 - 29,Female,Yes
2966,60,Male,No
2967,60,Male,Yes
2968,45 - 59,Female,Yes
2969,60,Male,No
2970,45 - 59,Male,Yes
2971,45 - 59,Female,Yes
2972,60,Male,No
2973,18 - 29,Female,Yes
2974,45 - 59,Female,No
2975,60,Male,Yes
2976,45 - 59,Female,Yes
2977,45 - 59,Female,Yes
2978,45 - 59,Male,Yes
2979,60,Female,No
2980,60,Female,No
2981,30 - 44,Female,Yes
2982,45 - 59,Female,Yes
2983,45 - 59,Female,Yes
2984,60,Male,No
2985,30 - 44,Female,Yes
2986,30 - 44,Female,No
2987,30 - 44,Female,Yes
2988,45 - 59,Male,No
2989,30 - 44,Female,No
2990,30 - 44,Female,No
2991,30 - 44,Male,Yes
2992,45 - 59,Male,Yes
2993,30 - 44,Male,Yes
2994,30 - 44,Female,No
2995,60,Female,No
2996,60,Male,Yes
2997,30 - 44,Female,Yes
2998,45 - 59,Male,No
2999,45 - 59,Male,Yes
3000,60,Female,Yes
3001,30 - 44,Female,No
3002,18 - 29,Female,No
3003,60,Female,No
3004,60,Female,No
3005,30 - 44,Female,Yes
3006,60,Male,No
3007,18 - 29,Female,No
3008,18 - 29,Female,Yes
3009,60,Male,Yes
3010,45 - 59,Female,No
3011,45 - 59,Male,No
3012,30 - 44,Female,No
3013,45 - 59,Female,No
3014,30 - 44,Female,Yes
3015,30 - 44,Female,Yes
3016,60,Female,No
3017,30 - 44,Female,Yes
3018,,,No
3019,45 - 59,Male,Yes
3020,30 - 44,Female,No
3021,30 - 44,Female,No
3022,45 - 59,Female,No
3023,45 - 59,Male,No
3024,60,Female,Yes
3025,30 - 44,Female,No
3026,60,Female,No
3027,60,Female,Yes
3028,60,Male,No
3029,45 - 59,Male,Yes
3030,18 - 29,Female,No
3031,60,Female,No
3032,45 - 59,Male,No
3033,60,Female,No
3034,60,Male,No
3035,60,Female,No
3036,30 - 44,Female,No
3037,30 - 44,Female,No
3038,,,No
